v-shaped eyebrows,คิ้วรูปตัววี,eye,eyebrow,character
thick eyebrows,คิ้้วหนา,eye,eyebrow,character
raised eyebrows,เลิกคิ้ว,eye,eyebrow,character
short eyebrows,คิ้วสั้น,eye,eyebrow,character
furrowed brow,คิ้วขมวด,eye,eyebrow,character
forked eyebrows,คิ้วโก่ง,eye,eyebrow,character
no eyebrows,ไม่มีคิ้ว,eye,eyebrow,character
glowing eyes,ตาเรืองแสง,eye,detail,character
heart eyes,ตารูปหัวใจ,eye,detail,character
closed eyes,หลับตา,eye,detail,character
one eye closed,หลับตาข้างเดียว,eye,detail,character
half-closed eyes,หรี่ตา,eye,detail,character
bags under eyes,ถุงใต้ตา,eye,detail,character
mole under eye,ไฝใต้ตา,eye,detail,character
eyelashes,ขนตา,eye,detail,character
colored eyelashes,ขนตาสี,eye,detail,character
long eyelashes,ขนตายาว,eye,detail,character
blue eyes,ตาสีฟ้า,eye,color,character
red eyes,ตาสีแดง,eye,color,character
brown eyes,ตาสีน้ำตาล,eye,color,character
green eyes,ตาสีเขียว,eye,color,character
purple eyes,ตาสีม่วง,eye,color,character
yellow eyes,ตาสีเหลือง,eye,color,character
pink eyes,ตาสีชมพู,eye,color,character
black eyes,ตาสีดำ,eye,color,character
aqua eyes,ตาสีน้ำทะเล,eye,color,character
orange eyes,ตาสีส้ม,eye,color,character
grey eyes,ตาสีเทา,eye,color,character
multicolored eyes,ตาหลากสี,eye,color,character
heterochromia,ตาสองสี,eye,color,character
black hair,ผมสีดำ,hair,color,character
brown hair,ผมสีน้ำตาล,hair,color,character
blonde hair,ผมสีบลอนด์,hair,color,character
blue hair,ผมสีฟ้า,hair,color,character
purple hair,ผมสีม่วง,hair,color,character
pink hair,ผมสีชมพู,hair,color,character
white hair,ผมสีขาว,hair,color,character
grey hair,ผมสีเทา,hair,color,character
red hair,ผมสีแดง,hair,color,character
green hair,ผมสีเขียว,hair,color,character
orange hair,ผมสีส้ม,hair,color,character
silver hair,ผมสีเงิน,hair,color,character
aqua hair,ผมสีน้ำทะเล,hair,color,character
multicolored hair,ผมหลากสี,hair,color,character
